Repository,Branch,In-Scope(YES)
pru-pva/pva-d75-prugreat-e-stock,master,yes
pru-pva/pva-d75-prugreat-e-stock,prugreat-e-stock-modify,
pru-pva/pva-d75-prugreat-e-stock,release/migration,
pru-pva/pva-d75-prugreat-fund-swap,CICD,
pru-pva/pva-d75-prugreat-fund-swap,CICD-TEST,
pru-pva/pva-d75-prugreat-fund-swap,UAT,yes
pru-pva/pva-d75-prugreat-fund-swap,master,yes
pru-pva/pva-d75-prugreat-fund-swap,prugreat-fund-modify,
pru-pva/pva-d75-prugreat-fund-swap,release/migration,
pru-pva/pva-d75-prugreat-go-abroad,CICD,
pru-pva/pva-d75-prugreat-go-abroad,CICD-TEST,
pru-pva/pva-d75-prugreat-go-abroad,UAT,yes
pru-pva/pva-d75-prugreat-go-abroad,master,yes
pru-pva/pva-d75-prugreat-go-abroad,prugreat-go-abroad-modify,
pru-pva/pva-d75-prugreat-go-abroad,release/migration,
pru-pva/pva-d75-prugreat-lite,CICD,
pru-pva/pva-d75-prugreat-lite,CICD-TEST,
pru-pva/pva-d75-prugreat-lite,UAT,yes
pru-pva/pva-d75-prugreat-lite,master,yes
pru-pva/pva-d75-prugreat-lite,prugreat-lite-modify,
pru-pva/pva-d75-prugreat-lite,release/migration,
pru-pva/pva-d75-prugreat-payment,CICD,
pru-pva/pva-d75-prugreat-payment,CICD-TEST,
pru-pva/pva-d75-prugreat-payment,UAT,yes
pru-pva/pva-d75-prugreat-payment,master,yes
pru-pva/pva-d75-prugreat-payment,prugreat-payment-modify,
pru-pva/pva-d75-prugreat-payment,release/migration,
pru-pva/pva-d75-prugreat-receipt,CICD,
pru-pva/pva-d75-prugreat-receipt,CICD-TEST,
pru-pva/pva-d75-prugreat-receipt,UAT,yes
pru-pva/pva-d75-prugreat-receipt,master,yes
pru-pva/pva-d75-prugreat-receipt,release/migration,
pru-pva/pva-d75-prugreat-topup,CICD,
pru-pva/pva-d75-prugreat-topup,CICD-TEST,
pru-pva/pva-d75-prugreat-topup,UAT,yes
pru-pva/pva-d75-prugreat-topup,master,yes
pru-pva/pva-d75-prugreat-topup,release/migration,
pru-pva/pva-nxa-aquasec_scan,UAT,yes
pru-pva/pva-nxa-aquasec_scan,master,yes
pru-pva/pva-nxa-gui-einvoice,DEV,
pru-pva/pva-nxa-gui-einvoice,PROD,yes
pru-pva/pva-nxa-gui-einvoice,UAT,yes
pru-pva/pva-nxa-gui-einvoice,cancel-tax-deduct,
pru-pva/pva-nxa-gui-einvoice,develop,
pru-pva/pva-nxa-gui-einvoice,fix_security,
pru-pva/pva-nxa-gui-einvoice,master,
pru-pva/pva-nxa-gui-einvoice,new-version,
pru-pva/pva-nxa-gui-einvoice,sangnx_merge,
pru-pva/pva-nxa-gui-einvoice,sangnx_update,
pru-pva/pva-nxa-gui-einvoice,update-gui,
pru-pva/pva-nxa-gui-einvoice,upgrade-package-version,
pru-pva/pva-nxa-gui-van,DEV,
pru-pva/pva-nxa-gui-van,PROD,yes
pru-pva/pva-nxa-gui-van,UAT,yes
pru-pva/pva-nxa-gui-van,master,
pru-pva/pva-nxa-gui-van,update-docker,
pru-pva/pva-nxa-gui-van,update-security,
pru-pva/pva-nxa-gui-searcheinvoice,DEV,
pru-pva/pva-nxa-gui-searcheinvoice,PROD,yes
pru-pva/pva-nxa-gui-searcheinvoice,UAT,yes
pru-pva/pva-nxa-gui-searcheinvoice,develop,
pru-pva/pva-nxa-gui-searcheinvoice,master,
pru-pva/pva-nxa-gui-searcheinvoice,minh.dang-deploy,
pru-pva/pva-nxa-gui-searcheinvoice,new-version,
pru-pva/pva-nxa-gui-searcheinvoice,sang_deploy,
pru-pva/pva-nxa-gui-searcheinvoice,sangnx_merge,
pru-pva/pva-nxa-gui-searcheinvoice,update_site_key_captcha,
pru-pva/pva-nxa-gui-searcheinvoice,update-env,
pru-pva/pva-nxa-gui-searcheinvoice,update-gui,
pru-pva/pva-nxa-gui-searcheinvoice,update-mode-captcha,
pru-pva/pva-nxa-gui-searcheinvoice,update-package,
pru-pva/pva-nxa-microbase,DEV,
pru-pva/pva-nxa-microbase,PROD,yes
pru-pva/pva-nxa-microbase,UAT,yes
pru-pva/pva-nxa-microbase,master,
pru-pva/pva-nxa-mscsm,DEV,
pru-pva/pva-nxa-mscsm,PROD,yes
pru-pva/pva-nxa-mscsm,UAT,yes
pru-pva/pva-nxa-mscsm,fix-openssl,
pru-pva/pva-nxa-mscsm,vvvvvvvv,
pru-pva/pva-nxa-mscommon,DEV,
pru-pva/pva-nxa-mscommon,PROD,yes
pru-pva/pva-nxa-mscommon,UAT,yes
pru-pva/pva-nxa-mscommon,add_field_download_filenet,
pru-pva/pva-nxa-mscommon,common_email,
pru-pva/pva-nxa-mscommon,dev_test_log_file_net_17112022,
pru-pva/pva-nxa-mscommon,dev_18052022,
pru-pva/pva-nxa-mscommon,dev19052022,
pru-pva/pva-nxa-mscommon,handle-file,
pru-pva/pva-nxa-mscommon,master,
pru-pva/pva-nxa-mscommon,sangnx_filenet_internal_upload,
pru-pva/pva-nxa-mscommon,sangnx_transfer,
pru-pva/pva-nxa-mscommon,sangnx-test-db-connection,
pru-pva/pva-nxa-msgateway,DEV,
pru-pva/pva-nxa-msgateway,PROD,yes
pru-pva/pva-nxa-msgateway,UAT,yes
pru-pva/pva-nxa-msgateway,UAT-TEST,
pru-pva/pva-nxa-msgateway,dso,
pru-pva/pva-nxa-msgateway,fix-version,
pru-pva/pva-nxa-msgateway,ldap,
pru-pva/pva-nxa-msgateway,sangnx_hotfix_url,
pru-pva/pva-nxa-mseag,DEV,
pru-pva/pva-nxa-mseag,PROD,yes
pru-pva/pva-nxa-mseag,UAT,yes
pru-pva/pva-nxa-mseag,add_item_type_12_12_2022,
pru-pva/pva-nxa-mseag,fix_invoice_item_type,
pru-pva/pva-nxa-mseag,fix-version,
pru-pva/pva-nxa-mseag,hot_fĩ,
pru-pva/pva-nxa-mseag,linhnn,
pru-pva/pva-nxa-mseag,sangnx_add_field,
pru-pva/pva-nxa-mseag,sangnx_fix_get_resource,
pru-pva/pva-nxa-mseag,sangnx_fix_shd,
pru-pva/pva-nxa-mseag,sangnx_optimization,
pru-pva/pva-nxa-mseag,sangnx_optimize_invoice_request,
pru-pva/pva-nxa-mseag,sangnx_scenario_cancel,
pru-pva/pva-nxa-mseag,send_another_event,
pru-pva/pva-nxa-mslib,master,
pru-pva/pva-nxa-msinfra,DEV,
pru-pva/pva-nxa-msinfra,PROD,yes
pru-pva/pva-nxa-msinfra,UAT,yes
pru-pva/pva-nxa-msinfra,fix-version,
pru-pva/pva-nxa-msinfra,upgrade-version,
pru-pva/pva-nxa-mspcnm,DEV,
pru-pva/pva-nxa-mspcnm,PROD,yes
pru-pva/pva-nxa-mspcnm,UAT,yes
pru-pva/pva-nxa-mspcnm,master,
pru-pva/pva-nxa-mspcnm,update,
pru-pva/pva-nxa-mspcnm,update-queue,
pru-pva/pva-nxa-mspeinvoice,DEV,
pru-pva/pva-nxa-mspeinvoice,PROD,yes
pru-pva/pva-nxa-mspeinvoice,UAT_BK,
pru-pva/pva-nxa-mspeinvoice,UAT,yes
pru-pva/pva-nxa-mspeinvoice,hieund_revert_working_version,
pru-pva/pva-nxa-mspeinvoice,new-version,
pru-pva/pva-nxa-mspeinvoice,release1.1.0,
pru-pva/pva-nxa-mspeinvoice,sangnx_hotfix_mssql,
pru-pva/pva-nxa-mspeinvoice,sangnx_update,
pru-pva/pva-nxa-mspeinvoice,update-code,
pru-pva/pva-nxa-mspeinvoice,update-schema-tax-deduct,
pru-pva/pva-nxa-mspeinvoice,update-tax-deduct,
pru-pva/pva-nxa-mspsearcheinvoice,DEV,
pru-pva/pva-nxa-mspsearcheinvoice,PROD,yes
pru-pva/pva-nxa-mspsearcheinvoice,UAT_BK,
pru-pva/pva-nxa-mspsearcheinvoice,UAT,yes
pru-pva/pva-nxa-mspsearcheinvoice,hieund_revert_working_version,
pru-pva/pva-nxa-mspsearcheinvoice,new-version,
pru-pva/pva-nxa-mspsearcheinvoice,release1.1.0,
pru-pva/pva-nxa-mspsearcheinvoice,sangnx_hotfix_mssql,
pru-pva/pva-nxa-mspsearcheinvoice,sangnx_update,
pru-pva/pva-nxa-mspsearcheinvoice,update-captcha,
pru-pva/pva-nxa-mspsearcheinvoice,update-code,
pru-pva/pva-nxa-mspsearcheinvoice,update-invoice-code,
pru-pva/pva-nxa-mspsearcheinvoice,update-mount,
pru-pva/pva-nxa-mspsearcheinvoice,update-param,
pru-pva/pva-nxa-mspsearcheinvoice,update-schema-tax-deduct,
pru-pva/pva-nxa-mspsearcheinvoice,update-tax-deduct,
pru-pva/pva-nxa-mssigning,DEV,
pru-pva/pva-nxa-mssigning,PROD,yes
pru-pva/pva-nxa-mssigning,UAT,yes
pru-pva/pva-nxa-mssigning,hot_fix,
pru-pva/pva-nxa-mssigning,hot_fix_2710,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666768710605,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666774666680,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666775123412,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666775163594,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666775655510,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666776539869,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666778217697,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666779620426,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666780283009,
pru-pva/pva-nxa-mssigning,phongnguyen.hong.phat.it_prudential.com.vn/Dockerfile-1666780493187,
pru-pva/pva-nxa-mssigning,sangnx_sign_with_hsml,
pru-pva/pva-nxa-mssigning,sign-pdf,
pru-pva/pva-nxa-msvan,DEV,
pru-pva/pva-nxa-msvan,PROD,yes
pru-pva/pva-nxa-msvan,UAT,yes
pru-pva/pva-nxa-msvan,fix-version,
pru-pva/pva-nxa-msvan,send-file-to-mscommon,
pru-pva/pva-nxa-pva-jenkins-automation,backup-database,
pru-pva/pva-nxa-pva-jenkins-automation,bugfix/PCAPULSEFOROPS-9182,
pru-pva/pva-nxa-pva-jenkins-automation,build-docker-push-artifactory,
pru-pva/pva-nxa-pva-jenkins-automation,couchbase,
pru-pva/pva-nxa-pva-jenkins-automation,couchbase-kafka-kafdrop-cluster,
pru-pva/pva-nxa-pva-jenkins-automation,couchbase-test,
pru-pva/pva-nxa-pva-jenkins-automation,create-branch-deploy,
pru-pva/pva-nxa-pva-jenkins-automation,create-new-repo,
pru-pva/pva-nxa-pva-jenkins-automation,cron-restart-filenet,
pru-pva/pva-nxa-pva-jenkins-automation,cron-start-env,
pru-pva/pva-nxa-pva-jenkins-automation,cron-stop-env,
pru-pva/pva-nxa-pva-jenkins-automation,delete-branch-bitbucket,
pru-pva/pva-nxa-pva-jenkins-automation,deploy-data,
pru-pva/pva-nxa-pva-jenkins-automation,deploy-helm-chart,
pru-pva/pva-nxa-pva-jenkins-automation,dev-int-mongodb,
pru-pva/pva-nxa-pva-jenkins-automation,enable-maintenance-notices,
pru-pva/pva-nxa-pva-jenkins-automation,flowable,
pru-pva/pva-nxa-pva-jenkins-automation,kafka,
pru-pva/pva-nxa-pva-jenkins-automation,kafka-cluster,
pru-pva/pva-nxa-pva-jenkins-automation,manage-vault,
pru-pva/pva-nxa-pva-jenkins-automation,master,
pru-pva/pva-nxa-pva-jenkins-automation,reapply-config-k8s-deploy,
pru-pva/pva-nxa-pva-jenkins-automation,release/couchbase,
pru-pva/pva-nxa-pva-jenkins-automation,release/flowable,
pru-pva/pva-nxa-pva-jenkins-automation,release/kafka-standalone,
pru-pva/pva-nxa-pva-jenkins-automation,release/release-prd-az1,
pru-pva/pva-nxa-pva-jenkins-automation,release/release-prd-az2,
pru-pva/pva-nxa-pva-jenkins-automation,release/release-prd-postgres,
pru-pva/pva-nxa-pva-jenkins-automation,release-1-0-0,
pru-pva/pva-nxa-pva-jenkins-automation,release-1-1-0,
pru-pva/pva-nxa-pva-jenkins-automation,run-kubectl-command,
pru-pva/pva-nxa-pva-jenkins-automation,scan-pdf-cron-job,
pru-pva/pva-nxa-pva-jenkins-automation,schedule-start-stop-env,
pru-pva/pva-nxa-pva-jenkins-automation,send-email-release,
pru-pva/pva-nxa-pva-jenkins-automation,stag,
pru-pva/pva-nxa-pva-jenkins-automation,start-deploy,
pru-pva/pva-nxa-pva-jenkins-automation,start-stop-pulse-for-ops,
pru-pva/pva-nxa-pva-jenkins-automation,stop-deploy,
pru-pva/pva-nxa-pva-jenkins-automation,swagger-validator,
pru-pva/pva-nxa-pva-jenkins-automation,thinh.nguyen/hpa_deployment,
pru-pva/pva-nxa-pva-jenkins-automation,troubleshoot-aks,
pru-pva/pva-nxa-pva-jenkins-automation,troubleshoot-aks-new,
pru-pva/pva-nxa-pva-jenkins-automation,uat,
pru-pva/pva-nxa-pva-jenkins-automation,update-apim,
pru-pva/pva-nxa-pva-jenkins-automation,update-apim-pulse-for-ops,
pru-pva/pva-nxa-pva-jenkins-automation,update-image-flowable-ui,
pru-pva/pva-nxa-mspvan,DEV,
pru-pva/pva-nxa-mspvan,PROD,yes
pru-pva/pva-nxa-mspvan,UAT,yes
pru-pva/pva-nxa-mspvan,master,
pru-pva/pva-nxa-mspvan,update-param,
pru-pva/pva-nxa-pva-kubernetes-template,feature/PCAPULSEFOROPS-9104-job-migrate-mongodb,
pru-pva/pva-nxa-pva-kubernetes-template,feature/PCAPULSEFOROPS-9104-minh.dang,
pru-pva/pva-nxa-pva-kubernetes-template,feature/PCAPULSEFOROPS-9104-test-merge,
pru-pva/pva-nxa-pva-kubernetes-template,feature/PCAPULSEFOROPS-9104-toan,
pru-pva/pva-nxa-pva-kubernetes-template,feature/add_secret,
pru-pva/pva-nxa-pva-kubernetes-template,master,
pru-pva/pva-nxa-neweinvoice-jenkins-pipeline-library,aakashkhadke_prudential.com.sg/aquasecscan.groovy-1641280561259,
pru-pva/pva-nxa-neweinvoice-jenkins-pipeline-library,aakashkhadke_prudential.com.sg/securityevaluation.groovy-1652412059640,
pru-pva/pva-nxa-neweinvoice-jenkins-pipeline-library,develop,
pru-pva/pva-nxa-neweinvoice-jenkins-pipeline-library,master,
pru-pva/pva-72a-hrms,master,yes
pru-pva/pva-72a-web-and-api,master,
pru-pva/pva-h67-ifrs17_mpf,master,
pru-pva/pva-h67-etl1,master,
pru-pva/pva-h67-jupyternotebooks,master,
pru-pva/pva-h67-etl2a,master,
pru-pva/pva-h67-ifrs17_etl4,feature/separate-table-actual-cf-aggregation,
pru-pva/pva-h67-ifrs17_etl4,master,
pru-pva/pva-h67-tdm-tool,master,
pru-pva/pva-h67-224_backup,master,
pru-pva/pva-h67-bau_ifa,feature/Model_Enhancements_Sep24_#2,
pru-pva/pva-h67-bau_ifa,master,
