Repository,Branch,In-Scope(YES),LBU,POC,Remarks
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-4300-and-EISCDM-3913,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-5230-release2.7_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-5230-release2.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-5606-release2.8,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-5606_release2.8_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-5842_release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-5952_release2.9.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-6025_release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-6187_release3.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-6243,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-6444_release3.2_testing,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISCDM-6444_release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,feature/EISGCLOUDENGINEERING-511,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,hotfix/EISCDM-5962,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,hotfix/esicdm_6092_config_change_for_factset_csv,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,master,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release_dr,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release1-bugfix,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release1.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release1.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release1.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.2_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.3_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.4,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.5_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.5,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.6_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.7_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.8_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.8,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.9_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.9,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.9.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.9.3_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release2.9.3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.0,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.1_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.2_ESG_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.2_cc_push_test,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.2_cr,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.2_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.2,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.2_06032025,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.3_factset_rollback,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.3_factset,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.5_odm,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.6,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.6.1,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-8hj-hera-replatform-ingestion-config,release/release3.7,Yes,EISG Data & AI ,Cheng Boon Ong,
pru-ei/ei-74p-api-eith-backend,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-feed,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-otp,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-otp,update-otp,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pdf,feature/EISGCLOUDENGINEERING-135-spin-up-pvd-mobile-application-in-mtms-tenant,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pdf,fix-pdf,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pdf,import/codediva,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pdf,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-push-notification,import/codediva,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-push-notification,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,developer,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,feature/realtime_article,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,handle-response-status-0,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hot-fix-ARP,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hotfix/-otp-request,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hotfix/V1.3.7/handle-response-status-0,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hotfix/handle-api-response-status-0,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hotfix/handle-other-status,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hotfix/v1.3.2,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,hotfix/v.1.3.10-UAT,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/v1.3.1,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.0,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.17-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.19-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.21-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.22-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.23-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.24-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.25-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.26-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.27-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.30-prd,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.30-uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,release/1.3.32-prd,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,sit,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employee,v1.3.4-article-from-EITH,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-send-mail,features/update,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-send-mail,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employer,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employer,sit,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-pvd-employer,uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-database-migration,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-database-migration,migrationDbBannerLink,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-database-migration,release/2024-01-12_1545.smart-weekly-content,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-database-migration,sql,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-database-migration,uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-api-qr-code,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-fundlinkmchoice,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,DEV_First,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,DEV_PHASE1,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,DEV_PHASE2,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,VIVO_100823,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,backup,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,dev,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,intellij-spring,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-eastspring-apis,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,EITHFC-2463-2,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,EITHFC-2537,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,EITHFC-2555,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,EITHFC-2556,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,EITHFC-2567,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,EITHFC-2568,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-fc,uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-pipelines,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,proxyman-enabled,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.73,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.74,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.75,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.76,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.77,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.78,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.0.79,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.1.0,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.1.1,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,release/1.2.2,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,sit,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-mobile-eastspring-m-choice,uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-register10step-web-application,eakapongkattiya_eastspring.com/next.config.js-1703842650311,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-register10step-web-application,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-db-staging-migration,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-pvdmobile-stress-test,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-sync-repo-api,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-pvd-employer-web-application,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-pvd-employer-web-application,release/1.0.2-build-10-prd,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-pvd-employer-web-application,sit,,EITH ,Paisal Deewannakij,
pru-ei/ei-74p-pvd-employer-web-application,uat,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,feature/azure-pipeline,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,feature/code-from-enterprise-after-march,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,feature/dglobe-integration,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,feature/gen-file-code,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,feature/polaris,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,fix/cve,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-fundlink-mchoice-web,migrate/maven-structure,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,correct-httpsadapter,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,dglobe-integration,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,feature/merge-code-after-march,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,fix/cve,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,new-transporter,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1718252805649,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvdcheque-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1721032755757,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,feature/code-form-enterprise-after-March,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,feature/fix-CI-maven-package-failed,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,feature/fix-run-error-from-pvd2.2,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,feature/pvd-2.2-group1-ning,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,naveensiva.kumar.reddy.daka_eastspring.com/buildpipeline.yml-1714356808085,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,pvd-2.2-enhance-ta,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1720587183089,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1721032485542,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,release/2024-11-29_1723.before-merge-pvd2.2,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-pvf-pvd-web,rollback-merge-mtms,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,AMALGAMATE,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,I21-FACTSHEET,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,add-newfund-AA1,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/22-05-13_1400.AddTapRound1400,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/22-07-11_1100_AMALGAMATE,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/22-07-20.AA1,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/2023-11-29.temenos-move-crs-file,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/2024-06-10_1119.rename-ffsheet-to-ttb-equal-to-prod,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/2024-06-13_1709.dynamic-rename-ffsheet-to-ttb,,EITH ,Paisal Deewannakij,
pru-ei/ei-9da-script-internal-transfer,release/2024-11-06_1347.rename-ffsheet-ttb-remove-sharp,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-fundlink-online-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,feature/merge-entp-vulnerableCallback,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,feature/mergeForMTMS,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,fix/cvePHP,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1720587753038,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1721028141022,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,ravinderkondapur_eastspring.com/releasepipeline.yml-1718018402440,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,ravinderkondapur_eastspring.com/releasepipeline.yml-1718114432528,,EITH ,Paisal Deewannakij,
pru-ei/ei-avt-mtf-ta-web,ravinderkondapur_eastspring.com/releasepipelinemtfsd.yml-1718018455275,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-db-https-forwarder-web,IP_REM,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-db-https-forwarder-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-db-https-forwarder-web,release/22-11-08_1241.IP_REM,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-dbwebservice,IP_REM,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-dbwebservice,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-dbwebservice,release/-22-11-08_1230.IP_REM,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,config-from-production,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,feature/get-mchoice-file-for-pvd-api,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,feature/pvd2.2-1-email-template-all,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,feature/pvd2.2-change-cont-template,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,init/2023-11-02_1500.bulkeas-production-config,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,pvd-mobile-eas-email-sms,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,pvd-phase2-register-email,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,release/2023-11-02_1149.bulkeas-config-pvd-mobile-phase1,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,release/2024-08-22_1514.pvd2.1,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,release/2024-08-27_1503.fix-missing-config-pvd2.1,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-deployment-config,release/2024-09-18_1545.add-getmchoicefile-priv-for-pvf_mobile_api,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-amlo-service,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-amlo-service,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-amlo-service,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-amlo-service,release/1.0.0-initial-version,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-bas-web,CD-pipelines,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-bas-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-bas-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-eith-toolkit,feature/mtms,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-eith-toolkit,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-eith-toolkit,release/2024-04-26_2109.new-jdbc-transporter,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-eith-toolkit,release/2024-04-29_1015-DGlobe-using-datasource,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-eith-toolkit,test,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-csr-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-csr-web,feature/UR-DeptDesc,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-csr-web,feature/mergeForMTMS,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-csr-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-csr-web,ravinderkondapur_eastspring.com/buildpipeline.yml-1721022250449,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-eas,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-eas,release/2024-08-22_1528.pvd2.1-qrcode,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-idm-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-idm-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-index-weight-service,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-index-weight-service,release/2024-04-03.1700-market-index-weight,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-index-weight-service,release/2024-04-04.1600-absolute-path-configuration,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-index-weight-service,release/2024-08-01_1700.fixed-nullable-fields,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-inav-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-inav-web,release/2024-09-27_1532.new-SETApi-for-enterpriseApp,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-kyc-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-led-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-mailing-label-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-mailing-label-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-uas-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-uas-web,fix/cve,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-uas-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-tpas-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-tpas-web,main,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-tpas-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-workflow-web,develop,,EITH ,Paisal Deewannakij,
pru-ei/ei-euh-mis-workflow-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-eys-appconvert-win-app,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-eys-attribution-web,master,,EITH ,Paisal Deewannakij,
pru-ei/ei-eys-apploadindex-win-app,master,,EITH ,Paisal Deewannakij,
