Repository,Branch,In-Scope(YES)
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,dr-access,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,dynamicspn-cidqdd,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,dynamicspn-gvzy8p,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,esubprod-ir,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,fci48b,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/PFAP_UAT_Static_SPN,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/PVADL-001-generate-spn-lku234,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/RTSREA-6525,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/Request-access-for-PHKLA139-PROD,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/UAT_Static_SPN_PFAP,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/cloud_Asset_API,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/dynamic_spn_pfap_prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/dynamic_spn_pfap,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/dynamic_spn_pfapulse_prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub_nprd_sit_dynamic_spn_20230210,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-mongodb-dynamic-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-mongodb-kvcontributor,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-mongodb-kvreader-2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-mongodb-static-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-sit-dynamic-spn-20240115,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-sit-mongodb-dynamic-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-sit-mongodb-static-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-sit-mongodb-static-spn-20240122,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-nprd-sit-mongodb-static-spn-20240126,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-prd-mongodb-dynamic-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-prd-mongodb-dynamic-spn-2022,
