Repository,Branch,In-Scope(YES)
pru-pacs/pacs-k8t-devops-resources,master,YES
pru-pacs/pacs-k8t-devops-ref-ci-nodejs,master,YES
pru-pacs/pacs-k8t-devops-ref-ci-python,master,YES
pru-pacs/pacs-k8t-devops-secrets,master,YES
pru-pacs/pacs-k8t-devops-secrets,pavan/pubkey,
pru-pacs/pacs-k8t-devops-secrets,xavier.murias/PACSSRE-532-jenkins-keys,
pru-pacs/pacs-k8t-devops-secrets,xmurias/PACSSRE-508-add-gpg-keys,
pru-pacs/pacs-k8t-devops-secrets,xmurias/add-email-inventory-credentials,
pru-pacs/pacs-k8t-devops-template,devops,
pru-pacs/pacs-k8t-devops-template,master,YES
pru-pacs/pacs-k8t-devops-template,vinothkumar_prudential.com.sg/CD-template-checklist.md-1712024947489,
pru-pacs/pacs-k8t-event-hub,master,YES
pru-pacs/pacs-k8t-cosmos-db,master,YES
pru-pacs/pacs-k8t-mssql-db,master,YES
pru-pacs/pacs-k8t-mssql-server,master,YES
pru-pacs/pacs-k8t-linux-webapp,main,
pru-pacs/pacs-k8t-linux-vm,comments,
pru-pacs/pacs-k8t-linux-vm,master,YES
pru-pacs/pacs-k8t-postgres-flexi,feature/privatednszone,
pru-pacs/pacs-k8t-postgres-flexi,master,YES
pru-pacs/pacs-k8t-redis-cache,master,YES
pru-pacs/pacs-k8t-storage-acc,master,YES
pru-pacs/pacs-k8t-windows-vm,master,YES
pru-pacs/pacs-k8t-windows-vm,window-vm-templatecomments,
pru-pacs/pacs-k8t-resource-group,master,YES
pru-pacs/pacs-k8t-mysql-flexi,master,YES
pru-pacs/pacs-g8t-node-boilerplate-poc,main,YES
pru-pacs/pacs-ftb-cs-cm-document-service-kops,master,
pru-pacs/pacs-ftb-cs-cm-document-service,feature/GTDE-593,
pru-pacs/pacs-ftb-cs-cm-document-service,feature/PACSCADS-2553-java21,
pru-pacs/pacs-ftb-cs-cm-document-service,feature/PACSCADS-2846,
pru-pacs/pacs-ftb-cs-cm-document-service,feature/hidden-azure-api,
pru-pacs/pacs-ftb-cs-cm-document-service,feature/test-consumer,
pru-pacs/pacs-ftb-cs-cm-document-service,master,YES
pru-pacs/pacs-ftb-cs-cm-document-service,release/PACSCADS-2412,
pru-pacs/pacs-ftb-cs-cm-document-service,release/pruservice_r1.2,
pru-pacs/pacs-ftb-cs-cm-document-service,release/pruservice,
pru-pacs/pacs-ftb-cs-cm-document-service,release/dsoscan,YES
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend-ops,HA,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend-ops,PACSSRE-5171--AKS-HA,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend-ops,feature/PACSCADS-2505,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend-ops,feature/dynatrace-restart,
